route_id,group_id
4,1
4,2
4,4
42,1
42,2
42,4
57,1
57,2
57,4
65,2
65,4
66,1
66,2
66,4
67,2
67,4
68,2
68,4
69,2
69,4
70,1
70,2
70,4
71,1
71,2
71,4
72,1
72,2
72,4
73,1
73,2
73,4
74,1
74,2
74,4
75,4
76,4
77,4
78,4
79,4
80,2
80,4
81,2
81,4
82,2
82,4
83,2
83,4
84,2
84,4
94,2
94,4
95,2
95,4
96,2
96,4
97,2
97,4
98,2
98,4
99,2
99,4
100,2
100,4
101,2
101,4
102,2
102,4
103,2
103,4
104,2
104,4
114,2
115,2
116,2
117,2
118,1
119,1
120,1
121,1
122,2
123,1
132,2
132,4
133,2
133,4
134,2
134,4
135,2
135,4
136,2
136,4